Change Physical Footprint: Designator=B1 Old Footprint=RS08U11AZ001 New Footprint=RS08U11AZ001
Change Physical Footprint: Designator=C1 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C2 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C3 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=Q1 Old Footprint=SOT-23_L2.9-W1.3-P1.90-LS2.4-BR New Footprint=SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
Change Physical Footprint: Designator=Q2 Old Footprint=SOT-23_L2.9-W1.3-P1.90-LS2.4-BR New Footprint=SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
Change Physical Footprint: Designator=R1 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R2 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R3 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R4 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R5 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R6 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R7 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R8 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R9 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R10 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R11 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=SW1 Old Footprint=SW-SMD_SK-3245S-L4-A New Footprint=SW-SMD_SK-3245S-L4-A
Change Physical Footprint: Designator=U1 Old Footprint=OPTO-SMD_QRE1113GR New Footprint=OPTO-SMD_QRE1113GR
Change Physical Footprint: Designator=U2 Old Footprint=OPTO-SMD_QRE1113GR New Footprint=OPTO-SMD_QRE1113GR
Change Physical Footprint: Designator=U3 Old Footprint=HDR-TH_2P-P2.54-V-M-3 New Footprint=HDR-TH_2P-P2.54-V-M-3
Change Physical Footprint: Designator=U4 Old Footprint=HDR-TH_2P-P2.54-V-M-3 New Footprint=HDR-TH_2P-P2.54-V-M-3
Change Physical Footprint: Designator=U5 Old Footprint=LM393 New Footprint=LM393
Change Physical Footprint: Designator=U6 Old Footprint=CONN-TH_DB125-2.54-2P-GN New Footprint=CONN-TH_DB125-2.54-2P-GN
Change Physical Footprint: Designator=U7 Old Footprint=CONN-TH_DB125-2.54-2P-GN New Footprint=CONN-TH_DB125-2.54-2P-GN
Change Physical Footprint: Designator=U8 Old Footprint=CONN-TH_DB125-2.54-2P-GN New Footprint=CONN-TH_DB125-2.54-2P-GN
